imagenes,Tamaño_KB,Edad,Sexo,R,G,B,RGB
001A02.JPG,9.55,2,Woman,102.93684728745984,102.93684728745984,102.93684728745984,"(102.93684728745984, 102.93684728745984, 102.93684728745984)"
001A05.JPG,12.55,5,Man,133.46640236073256,133.46640236073256,133.46640236073256,"(133.46640236073256, 133.46640236073256, 133.46640236073256)"
001A08.JPG,12.54,8,Man,138.78666468886746,138.78666468886746,138.78666468886746,"(138.78666468886746, 138.78666468886746, 138.78666468886746)"
001A10.JPG,14.12,10,Man,111.49170883317224,111.49170883317224,111.49170883317224,"(111.49170883317224, 111.49170883317224, 111.49170883317224)"
001A14.JPG,10.57,14,Man,114.3765671746721,64.71397548763055,63.699782060195126,"(114.3765671746721, 64.71397548763055, 63.699782060195126)"
001A16.JPG,58.06,16,Man,126.29643549263342,126.29643549263342,126.29643549263342,"(126.29643549263342, 126.29643549263342, 126.29643549263342)"
001A18.JPG,16.39,18,Man,150.18048877097957,76.96419425560529,61.682091600803254,"(150.18048877097957, 76.96419425560529, 61.682091600803254)"
001A19.JPG,18.52,19,Man,156.59178216974675,76.82731220054757,58.07300757186858,"(156.59178216974675, 76.82731220054757, 58.07300757186858)"
001A22.JPG,34.81,22,Man,159.24143701982277,128.3076646260037,113.63062121711383,"(159.24143701982277, 128.3076646260037, 113.63062121711383)"
001A28.JPG,14.51,28,Man,94.88759449562959,87.523791243405,87.85251299314908,"(94.88759449562959, 87.523791243405, 87.85251299314908)"
001A29.JPG,21.83,29,Man,112.82453070037963,88.410680702121,79.98984345070177,"(112.82453070037963, 88.410680702121, 79.98984345070177)"
001A33.JPG,28.61,33,Man,114.6949352672801,106.17823331726369,99.0881769337721,"(114.6949352672801, 106.17823331726369, 99.0881769337721)"
001A40.JPG,16.37,40,Man,107.63690506361195,86.06750215418927,78.02563485224796,"(107.63690506361195, 86.06750215418927, 78.02563485224796)"
001A43a.JPG,18.11,43,Man,139.83994667193363,137.34959510171836,141.83529034169464,"(139.83994667193363, 137.34959510171836, 141.83529034169464)"
001A43b.JPG,14.82,43,Man,131.95272357458288,105.38976810459222,96.42867475907677,"(131.95272357458288, 105.38976810459222, 96.42867475907677)"
002A03.JPG,46.37,3,Woman,160.79601698857923,109.92285103977508,91.95444199320656,"(160.79601698857923, 109.92285103977508, 91.95444199320656)"
002A04.JPG,47.1,4,Man,137.37129250271386,137.37129250271386,137.37129250271386,"(137.37129250271386, 137.37129250271386, 137.37129250271386)"
002A05.JPG,53.45,5,Man,92.67100937597262,92.67100937597262,92.67100937597262,"(92.67100937597262, 92.67100937597262, 92.67100937597262)"
002A07.JPG,59.35,7,Woman,92.90354773750296,92.90354773750296,92.90354773750296,"(92.90354773750296, 92.90354773750296, 92.90354773750296)"
002A12.JPG,38.64,12,Woman,108.80597740014186,108.80597740014186,108.80597740014186,"(108.80597740014186, 108.80597740014186, 108.80597740014186)"
002A15.JPG,41.03,15,Woman,114.86752679180293,114.86752679180293,114.86752679180293,"(114.86752679180293, 114.86752679180293, 114.86752679180293)"
002A16.JPG,47.04,16,Man,134.07369976128047,70.59842288576684,51.28633135052635,"(134.07369976128047, 70.59842288576684, 51.28633135052635)"
002A18.JPG,47.65,18,Man,121.33544495753922,89.08244628810706,74.59551716041169,"(121.33544495753922, 89.08244628810706, 74.59551716041169)"
002A20.JPG,42.7,20,Man,148.83952960513443,76.08094939928775,55.77772179391852,"(148.83952960513443, 76.08094939928775, 55.77772179391852)"
